,antecedent,pd,cls,conf_pd,conf_pnd,elift,sup_pd,sup_pnd
263,"['NationalITy=Jordan', 'raisedhands=x>75']",gender=F,class=L,0.2,0.43478260869565216,0.46,5.0,20.0
295,['AnnouncementsView=x>73'],gender=F,class=L,0.21739130434782608,0.4117647058823529,0.5279503105590062,5.0,28.0
214,"['raisedhands=50<x<75', 'AnnouncementsView=49<x<73']",gender=F,class=L,0.35714285714285715,0.5675675675675675,0.6292517006802721,5.0,21.0
62,"['NationalITy=Jordan', 'SectionID=B', 'Discussion=25<x<50']",gender=F,class=L,0.4166666666666667,0.65,0.6410256410256411,5.0,13.0
256,['raisedhands=x>75'],gender=F,class=L,0.26,0.39655172413793105,0.6556521739130434,13.0,46.0
228,"['NationalITy=Jordan', 'AnnouncementsView=49<x<73']",gender=F,class=L,0.47058823529411764,0.6976744186046512,0.6745098039215686,8.0,30.0
219,['AnnouncementsView=49<x<73'],gender=F,class=L,0.3902439024390244,0.5784313725490197,0.6746589499793303,16.0,59.0
243,['Topic=English'],gender=F,class=L,0.42105263157894735,0.6222222222222222,0.6766917293233082,8.0,28.0
276,"['NationalITy=Jordan', 'SectionID=B', 'GradeID=G-02']",gender=F,class=L,0.5,0.7333333333333333,0.6818181818181819,6.0,22.0
126,"['NationalITy=Jordan', 'SectionID=B']",gender=F,class=L,0.4583333333333333,0.6666666666666666,0.6875,11.0,34.0
234,['Topic=Science'],gender=F,class=L,0.4782608695652174,0.6862745098039216,0.6968944099378882,11.0,35.0
63,"['NationalITy=Jordan', 'Discussion=25<x<50']",gender=F,class=L,0.52,0.7454545454545455,0.697560975609756,13.0,41.0
197,['GradeID=G-06'],gender=F,class=L,0.4,0.5625,0.7111111111111111,6.0,18.0
180,"['Discussion=1<x<25', 'GradeID=G-08']",gender=F,class=L,0.6,0.8421052631578947,0.7125,6.0,32.0
98,['Discussion=50<x<74'],gender=F,class=L,0.4411764705882353,0.6172839506172839,0.7147058823529412,15.0,50.0
311,"['raisedhands=0<x<25', 'SectionID=B', 'Topic=French']",gender=F,class=L,0.5555555555555556,0.7647058823529411,0.7264957264957266,5.0,13.0
325,"['raisedhands=0<x<25', 'SectionID=B', 'GradeID=G-02', 'Topic=French']",gender=F,class=L,0.5555555555555556,0.7647058823529411,0.7264957264957266,5.0,13.0
158,"['Discussion=1<x<25', 'raisedhands=50<x<75']",gender=F,class=L,0.5,0.6818181818181818,0.7333333333333334,6.0,15.0
187,"['Discussion=25<x<50', 'GradeID=G-08']",gender=F,class=L,0.6,0.8148148148148148,0.7363636363636363,6.0,22.0
46,"['Topic=Science', 'GradeID=G-04']",gender=F,class=L,0.4666666666666667,0.6296296296296297,0.7411764705882353,7.0,17.0
59,"['SectionID=B', 'Discussion=25<x<50']",gender=F,class=L,0.5,0.6727272727272727,0.7432432432432432,9.0,37.0
332,"['raisedhands=0<x<25', 'GradeID=G-02', 'Topic=French']",gender=F,class=L,0.6363636363636364,0.8333333333333334,0.7636363636363636,7.0,20.0
339,"['raisedhands=0<x<25', 'Topic=French']",gender=F,class=L,0.6363636363636364,0.8333333333333334,0.7636363636363636,7.0,20.0
323,"['SectionID=B', 'GradeID=G-02', 'Topic=French']",gender=F,class=L,0.47368421052631576,0.6190476190476191,0.7651821862348177,9.0,26.0
253,['NationalITy=Jordan'],gender=F,class=L,0.5316455696202531,0.6918604651162791,0.7684288905435591,42.0,119.0
182,['GradeID=G-08'],gender=F,class=L,0.5555555555555556,0.7155172413793104,0.7764390896921017,20.0,83.0
41,['GradeID=G-04'],gender=F,class=L,0.55,0.7083333333333334,0.7764705882352941,11.0,34.0
8,"['SectionID=B', 'Discussion=1<x<25']",gender=F,class=L,0.5833333333333334,0.75,0.7777777777777778,14.0,42.0
271,"['NationalITy=Jordan', 'raisedhands=0<x<25', 'GradeID=G-02']",gender=F,class=L,0.6666666666666666,0.8571428571428571,0.7777777777777778,8.0,24.0
273,"['SectionID=B', 'GradeID=G-02']",gender=F,class=L,0.5428571428571428,0.6914893617021277,0.7850549450549449,19.0,65.0
58,"['raisedhands=0<x<25', 'SectionID=B', 'Discussion=25<x<50']",gender=F,class=L,0.7142857142857143,0.9090909090909091,0.7857142857142858,5.0,20.0
124,"['NationalITy=Jordan', 'raisedhands=0<x<25', 'SectionID=B']",gender=F,class=L,0.6363636363636364,0.8095238095238095,0.7860962566844919,7.0,17.0
10,['Discussion=1<x<25'],gender=F,class=L,0.6538461538461539,0.8280254777070064,0.7896449704142011,34.0,130.0
161,"['NationalITy=Jordan', 'raisedhands=50<x<75']",gender=F,class=L,0.4444444444444444,0.5588235294117647,0.7953216374269005,8.0,19.0
308,"['SectionID=B', 'Topic=French']",gender=F,class=L,0.5,0.627906976744186,0.7962962962962963,10.0,27.0
353,"['GradeID=G-08', 'Topic=Geology']",gender=F,class=L,0.6,0.75,0.7999999999999999,6.0,18.0
146,"['SectionID=B', 'raisedhands=50<x<75']",gender=F,class=L,0.35,0.4375,0.7999999999999999,7.0,21.0
185,"['AnnouncementsView=24<x<49', 'GradeID=G-08']",gender=F,class=L,0.6,0.75,0.7999999999999999,9.0,24.0
351,['Topic=Geology'],gender=F,class=L,0.6,0.75,0.7999999999999999,6.0,18.0
249,['StageID=HighSchool'],gender=F,class=L,0.5333333333333333,0.6666666666666666,0.8,8.0,22.0
242,"['NationalITy=Jordan', 'Topic=Science']",gender=F,class=L,0.5,0.625,0.8,7.0,15.0
181,"['NationalITy=Jordan', 'Discussion=1<x<25', 'GradeID=G-08']",gender=F,class=L,0.625,0.7777777777777778,0.8035714285714286,5.0,14.0
277,"['Discussion=25<x<50', 'GradeID=G-02']",gender=F,class=L,0.5,0.62,0.8064516129032259,6.0,31.0
82,['VisITedResources=49<x<74'],gender=F,class=L,0.5357142857142857,0.6626506024096386,0.8084415584415584,15.0,55.0
272,"['raisedhands=0<x<25', 'SectionID=B', 'GradeID=G-02']",gender=F,class=L,0.7333333333333333,0.9069767441860465,0.8085470085470086,11.0,39.0
230,"['SectionID=B', 'Topic=Science']",gender=F,class=L,0.5714285714285714,0.7058823529411765,0.8095238095238094,8.0,24.0
289,"['NationalITy=Jordan', 'GradeID=G-02']",gender=F,class=L,0.6363636363636364,0.7818181818181819,0.813953488372093,14.0,43.0
188,"['NationalITy=Jordan', 'GradeID=G-08']",gender=F,class=L,0.5555555555555556,0.6792452830188679,0.8179012345679013,15.0,36.0
121,['SectionID=B'],gender=F,class=L,0.559322033898305,0.6826347305389222,0.81935771632471,33.0,114.0
136,"['Discussion=1<x<25', 'AnnouncementsView=24<x<49']",gender=F,class=L,0.6428571428571429,0.7837837837837838,0.8201970443349754,9.0,29.0
292,"['Topic=IT', 'SectionID=C']",gender=F,class=L,0.7142857142857143,0.8666666666666667,0.8241758241758241,5.0,13.0
293,"['GradeID=G-02', 'Topic=IT', 'SectionID=C']",gender=F,class=L,0.7142857142857143,0.8666666666666667,0.8241758241758241,5.0,13.0
6,"['NationalITy=Jordan', 'raisedhands=0<x<25', 'Discussion=1<x<25']",gender=F,class=L,0.6923076923076923,0.84,0.8241758241758241,9.0,21.0
291,"['GradeID=G-02', 'SectionID=C']",gender=F,class=L,0.7142857142857143,0.8666666666666667,0.8241758241758241,5.0,13.0
25,"['Discussion=1<x<25', 'Topic=IT']",gender=F,class=L,0.7,0.8484848484848485,0.825,7.0,28.0
4,"['raisedhands=0<x<25', 'Discussion=1<x<25']",gender=F,class=L,0.7727272727272727,0.9358974358974359,0.825653798256538,17.0,73.0
209,['Topic=Arabic'],gender=F,class=L,0.5625,0.6779661016949152,0.8296875,9.0,40.0
281,"['SectionID=B', 'Discussion=1<x<25', 'GradeID=G-02']",gender=F,class=L,0.6,0.7209302325581395,0.832258064516129,12.0,31.0
51,"['NationalITy=Jordan', 'Topic=Science', 'GradeID=G-04']",gender=F,class=L,0.5,0.6,0.8333333333333334,6.0,12.0
53,"['NationalITy=Jordan', 'GradeID=G-04']",gender=F,class=L,0.5,0.6,0.8333333333333334,6.0,12.0
56,['Discussion=25<x<50'],gender=F,class=L,0.6086956521739131,0.7297297297297297,0.8341384863123994,28.0,108.0
269,"['raisedhands=0<x<25', 'GradeID=G-02']",gender=F,class=L,0.76,0.9104477611940298,0.8347540983606557,19.0,61.0
152,"['NationalITy=Jordan', 'Discussion=25<x<50', 'raisedhands=50<x<75']",gender=F,class=L,0.6,0.7142857142857143,0.84,6.0,10.0
286,['GradeID=G-02'],gender=F,class=L,0.6071428571428571,0.7210884353741497,0.8419811320754716,34.0,106.0
28,"['Discussion=25<x<50', 'Topic=IT']",gender=F,class=L,0.7142857142857143,0.84375,0.8465608465608466,5.0,27.0
150,"['AnnouncementsView=24<x<49', 'raisedhands=50<x<75']",gender=F,class=H,0.3333333333333333,0.39285714285714285,0.8484848484848485,5.0,11.0
2,"['NationalITy=Jordan', 'raisedhands=0<x<25']",gender=F,class=L,0.7391304347826086,0.8679245283018868,0.8516068052930056,17.0,46.0
319,"['GradeID=G-02', 'Topic=French']",gender=F,class=L,0.5862068965517241,0.6875,0.8526645768025077,17.0,44.0
105,"['GradeID=G-08', 'Discussion=50<x<74']",gender=F,class=L,0.5,0.5862068965517241,0.8529411764705883,5.0,17.0
144,['raisedhands=50<x<75'],gender=F,class=L,0.48936170212765956,0.5727272727272728,0.8544410672070246,23.0,63.0
282,"['raisedhands=0<x<25', 'Discussion=1<x<25', 'GradeID=G-02']",gender=F,class=L,0.7692307692307693,0.9,0.8547008547008548,10.0,27.0
12,"['NationalITy=Jordan', 'Discussion=1<x<25']",gender=F,class=L,0.6666666666666666,0.7796610169491526,0.8550724637681159,16.0,46.0
327,"['SectionID=B', 'Discussion=1<x<25', 'GradeID=G-02', 'Topic=French']",gender=F,class=L,0.5833333333333334,0.6818181818181818,0.8555555555555556,7.0,15.0
334,"['SectionID=B', 'Discussion=1<x<25', 'Topic=French']",gender=F,class=L,0.5833333333333334,0.6818181818181818,0.8555555555555556,7.0,15.0
326,"['raisedhands=0<x<25', 'SectionID=B', 'Discussion=1<x<25', 'GradeID=G-02', 'Topic=French']",gender=F,class=L,0.7142857142857143,0.8333333333333334,0.8571428571428571,5.0,10.0
333,"['raisedhands=0<x<25', 'SectionID=B', 'Discussion=1<x<25', 'Topic=French']",gender=F,class=L,0.7142857142857143,0.8333333333333334,0.8571428571428571,5.0,10.0
112,"['Discussion=25<x<50', 'GradeID=G-07']",gender=F,class=L,0.75,0.875,0.8571428571428571,6.0,21.0
352,"['NationalITy=Jordan', 'Topic=Geology']",gender=F,class=L,0.6,0.7,0.8571428571428572,6.0,14.0
354,"['NationalITy=Jordan', 'GradeID=G-08', 'Topic=Geology']",gender=F,class=L,0.6,0.7,0.8571428571428572,6.0,14.0
39,"['GradeID=G-02', 'Topic=IT']",gender=F,class=L,0.6842105263157895,0.7924528301886793,0.8634085213032581,13.0,42.0
261,"['GradeID=G-02', 'raisedhands=x>75']",gender=F,class=H,0.5,0.5789473684210527,0.8636363636363636,5.0,11.0
279,"['raisedhands=0<x<25', 'SectionID=B', 'Discussion=1<x<25', 'GradeID=G-02']",gender=F,class=L,0.7777777777777778,0.9,0.8641975308641975,7.0,18.0
284,"['Discussion=1<x<25', 'GradeID=G-02']",gender=F,class=L,0.6451612903225806,0.746268656716418,0.8645161290322579,20.0,50.0
306,['Topic=French'],gender=F,class=L,0.6,0.6923076923076923,0.8666666666666667,18.0,45.0
35,"['raisedhands=0<x<25', 'GradeID=G-02', 'Topic=IT']",gender=F,class=L,0.8,0.9230769230769231,0.8666666666666667,8.0,24.0
178,"['raisedhands=0<x<25', 'GradeID=G-08']",gender=F,class=L,0.7777777777777778,0.896551724137931,0.8675213675213675,7.0,26.0
260,"['Discussion=1<x<25', 'raisedhands=x>75']",gender=F,class=L,0.6153846153846154,0.7037037037037037,0.8744939271255061,8.0,19.0
336,"['raisedhands=0<x<25', 'Discussion=1<x<25', 'Topic=French']",gender=F,class=L,0.7777777777777778,0.8888888888888888,0.8750000000000001,7.0,16.0
329,"['raisedhands=0<x<25', 'Discussion=1<x<25', 'GradeID=G-02', 'Topic=French']",gender=F,class=L,0.7777777777777778,0.8888888888888888,0.8750000000000001,7.0,16.0
110,['GradeID=G-07'],gender=F,class=L,0.625,0.7128712871287128,0.8767361111111112,20.0,72.0
79,"['raisedhands=0<x<25', 'VisITedResources=24<x<49']",gender=F,class=L,0.8333333333333334,0.9473684210526315,0.8796296296296298,5.0,18.0
134,"['NationalITy=Jordan', 'Discussion=25<x<50', 'AnnouncementsView=24<x<49']",gender=F,class=L,0.8,0.9090909090909091,0.8800000000000001,8.0,20.0
285,"['NationalITy=Jordan', 'Discussion=1<x<25', 'GradeID=G-02']",gender=F,class=L,0.6,0.68,0.8823529411764705,6.0,17.0
321,"['NationalITy=Jordan', 'GradeID=G-02', 'Topic=French']",gender=F,class=L,0.5882352941176471,0.6666666666666666,0.8823529411764707,10.0,22.0
317,"['NationalITy=Jordan', 'Topic=French']",gender=F,class=L,0.5882352941176471,0.6666666666666666,0.8823529411764707,10.0,22.0
94,"['SectionID=B', 'VisITedResources=49<x<74']",gender=F,class=L,0.5454545454545454,0.6176470588235294,0.883116883116883,6.0,21.0
7,"['raisedhands=0<x<25', 'SectionID=B', 'Discussion=1<x<25']",gender=F,class=L,0.8181818181818182,0.9259259259259259,0.8836363636363637,9.0,25.0
177,"['NationalITy=Jordan', 'Discussion=x>74']",gender=F,class=L,0.45454545454545453,0.5135135135135135,0.8851674641148326,10.0,19.0
23,"['raisedhands=0<x<25', 'Topic=IT']",gender=F,class=L,0.8461538461538461,0.9555555555555556,0.885509838998211,11.0,43.0
123,"['raisedhands=0<x<25', 'SectionID=B']",gender=F,class=L,0.8181818181818182,0.9230769230769231,0.8863636363636364,18.0,60.0
0,['raisedhands=0<x<25'],gender=F,class=L,0.82,0.9226190476190477,0.888774193548387,41.0,155.0
233,"['NationalITy=Jordan', 'SectionID=B', 'Topic=Science']",gender=F,class=L,0.5,0.5625,0.8888888888888888,5.0,9.0
36,"['SectionID=B', 'GradeID=G-02', 'Topic=IT']",gender=F,class=L,0.6666666666666666,0.75,0.8888888888888888,8.0,27.0
252,['PlaceofBirth=USA'],gender=F,class=L,0.5555555555555556,0.625,0.888888888888889,5.0,10.0
175,"['GradeID=G-02', 'Discussion=x>74']",gender=F,class=L,0.7777777777777778,0.875,0.888888888888889,7.0,14.0
168,"['raisedhands=50<x<75', 'Discussion=x>74']",gender=F,class=L,0.4166666666666667,0.4666666666666667,0.8928571428571429,5.0,14.0
38,"['Discussion=1<x<25', 'GradeID=G-02', 'Topic=IT']",gender=F,class=L,0.7,0.782608695652174,0.8944444444444444,7.0,18.0
78,"['AnnouncementsView=24<x<49', 'VisITedResources=24<x<49']",gender=F,class=L,0.7777777777777778,0.8695652173913043,0.8944444444444445,7.0,20.0
290,['SectionID=C'],gender=F,class=L,0.75,0.8333333333333334,0.8999999999999999,6.0,25.0
236,"['AnnouncementsView=24<x<49', 'Topic=Science']",gender=F,class=L,0.8333333333333334,0.9230769230769231,0.9027777777777778,5.0,12.0
156,"['Discussion=1<x<25', 'GradeID=G-02', 'raisedhands=50<x<75']",gender=F,class=L,0.5555555555555556,0.6153846153846154,0.9027777777777778,5.0,8.0
135,"['raisedhands=0<x<25', 'Discussion=1<x<25', 'AnnouncementsView=24<x<49']",gender=F,class=L,0.8571428571428571,0.9375,0.9142857142857143,6.0,15.0
330,"['Discussion=1<x<25', 'GradeID=G-02', 'Topic=French']",gender=F,class=L,0.65,0.7105263157894737,0.9148148148148149,13.0,27.0
337,"['Discussion=1<x<25', 'Topic=French']",gender=F,class=L,0.65,0.7105263157894737,0.9148148148148149,13.0,27.0
139,"['NationalITy=Jordan', 'AnnouncementsView=24<x<49']",gender=F,class=L,0.7727272727272727,0.8444444444444444,0.9150717703349283,17.0,38.0
179,"['NationalITy=Jordan', 'raisedhands=0<x<25', 'GradeID=G-08']",gender=F,class=L,0.7142857142857143,0.7777777777777778,0.9183673469387755,5.0,7.0
24,"['SectionID=B', 'Discussion=1<x<25', 'Topic=IT']",gender=F,class=L,0.7142857142857143,0.7777777777777778,0.9183673469387755,5.0,14.0
132,"['raisedhands=0<x<25', 'AnnouncementsView=24<x<49']",gender=F,class=L,0.8461538461538461,0.9210526315789473,0.9186813186813187,11.0,35.0
65,"['Discussion=25<x<50', 'raisedhands=25<x<50']",gender=F,class=L,0.8571428571428571,0.9310344827586207,0.9206349206349206,6.0,27.0
208,"['GradeID=G-08', 'Topic=Arabic']",gender=F,class=L,0.625,0.6785714285714286,0.9210526315789473,5.0,19.0
127,['AnnouncementsView=24<x<49'],gender=F,class=L,0.6875,0.7457627118644068,0.921875,33.0,88.0
100,"['Topic=IT', 'Discussion=50<x<74']",gender=F,class=L,0.8571428571428571,0.9285714285714286,0.923076923076923,6.0,13.0
143,"['raisedhands=0<x<25', 'GradeID=G-02', 'AnnouncementsView=24<x<49']",gender=F,class=L,0.8333333333333334,0.9,0.9259259259259259,5.0,9.0
29,['Topic=IT'],gender=F,class=L,0.78125,0.8421052631578947,0.927734375,25.0,80.0
37,"['SectionID=B', 'Discussion=1<x<25', 'GradeID=G-02', 'Topic=IT']",gender=F,class=L,0.7142857142857143,0.7647058823529411,0.9340659340659342,5.0,13.0
129,"['SectionID=B', 'AnnouncementsView=24<x<49']",gender=F,class=L,0.6470588235294118,0.6904761904761905,0.9371196754563895,11.0,29.0
142,"['Discussion=1<x<25', 'GradeID=G-02', 'AnnouncementsView=24<x<49']",gender=F,class=L,0.625,0.6666666666666666,0.9375,5.0,10.0
237,"['raisedhands=25<x<50', 'Topic=Science']",gender=F,class=L,0.8333333333333334,0.8888888888888888,0.9375000000000001,5.0,8.0
55,"['raisedhands=0<x<25', 'Discussion=25<x<50']",gender=F,class=L,0.8571428571428571,0.9122807017543859,0.9395604395604396,12.0,52.0
76,"['Topic=IT', 'VisITedResources=24<x<49']",gender=F,class=L,0.8888888888888888,0.9444444444444444,0.9411764705882353,8.0,17.0
172,"['raisedhands=0<x<25', 'Discussion=x>74']",gender=F,class=L,0.7777777777777778,0.8235294117647058,0.9444444444444445,7.0,14.0
87,"['raisedhands=50<x<75', 'VisITedResources=49<x<74']",gender=F,class=L,0.5,0.5277777777777778,0.9473684210526315,8.0,19.0
81,"['NationalITy=Jordan', 'Discussion=25<x<50', 'VisITedResources=49<x<74']",gender=F,class=L,0.875,0.9230769230769231,0.9479166666666666,7.0,12.0
69,"['Discussion=50<x<74', 'raisedhands=25<x<50']",gender=F,class=L,0.875,0.9230769230769231,0.9479166666666666,7.0,12.0
77,['VisITedResources=24<x<49'],gender=F,class=L,0.8888888888888888,0.9375,0.9481481481481481,16.0,45.0
89,"['Discussion=25<x<50', 'AnnouncementsView=24<x<49', 'raisedhands=50<x<75', 'VisITedResources=49<x<74']",gender=F,class=L,0.8571428571428571,0.9,0.9523809523809523,6.0,9.0
74,"['AnnouncementsView=49<x<73', 'raisedhands=25<x<50']",gender=F,class=L,0.7142857142857143,0.75,0.9523809523809524,5.0,9.0
186,"['Discussion=25<x<50', 'AnnouncementsView=24<x<49', 'GradeID=G-08']",gender=F,class=L,0.8333333333333334,0.875,0.9523809523809524,5.0,7.0
31,"['SectionID=B', 'Topic=IT']",gender=F,class=L,0.7142857142857143,0.75,0.9523809523809524,10.0,33.0
113,"['SectionID=B', 'GradeID=G-07']",gender=F,class=L,0.6666666666666666,0.7,0.9523809523809524,8.0,28.0
131,"['VisITedResources=0<x<24', 'AnnouncementsView=24<x<49']",gender=F,class=L,0.8333333333333334,0.875,0.9523809523809524,5.0,21.0
84,"['AnnouncementsView=24<x<49', 'VisITedResources=49<x<74']",gender=F,class=L,0.7692307692307693,0.8,0.9615384615384616,10.0,24.0
167,"['VisITedResources=0<x<24', 'Discussion=x>74']",gender=F,class=L,0.8888888888888888,0.9230769230769231,0.9629629629629629,8.0,12.0
67,['raisedhands=25<x<50'],gender=F,class=L,0.8148148148148148,0.8441558441558441,0.9652421652421652,22.0,65.0
314,"['GradeID=G-02', 'raisedhands=50<x<75', 'Topic=French']",gender=F,class=L,0.45454545454545453,0.47058823529411764,0.9659090909090909,5.0,8.0
72,"['GradeID=G-08', 'raisedhands=25<x<50']",gender=F,class=L,0.7777777777777778,0.8,0.9722222222222222,7.0,12.0
91,"['NationalITy=Jordan', 'Discussion=25<x<50', 'raisedhands=50<x<75', 'VisITedResources=49<x<74']",gender=F,class=L,0.8333333333333334,0.8571428571428571,0.9722222222222223,5.0,6.0
141,"['GradeID=G-02', 'AnnouncementsView=24<x<49']",gender=F,class=L,0.6,0.6129032258064516,0.9789473684210526,6.0,19.0
66,"['Topic=IT', 'raisedhands=25<x<50']",gender=F,class=L,0.8571428571428571,0.875,0.9795918367346939,6.0,14.0
170,['Discussion=x>74'],gender=F,class=H,0.47619047619047616,0.4835164835164835,0.9848484848484848,20.0,44.0
85,"['Discussion=25<x<50', 'AnnouncementsView=24<x<49', 'VisITedResources=49<x<74']",gender=F,class=L,0.875,0.8823529411764706,0.9916666666666667,7.0,15.0
88,"['AnnouncementsView=24<x<49', 'raisedhands=50<x<75', 'VisITedResources=49<x<74']",gender=F,class=L,0.7272727272727273,0.7333333333333333,0.9917355371900828,8.0,11.0
154,"['GradeID=G-02', 'raisedhands=50<x<75']",gender=F,class=H,0.5625,0.5666666666666667,0.9926470588235294,9.0,17.0
133,"['Discussion=25<x<50', 'AnnouncementsView=24<x<49']",gender=F,class=L,0.75,0.7551020408163265,0.9932432432432433,12.0,37.0
80,"['Discussion=25<x<50', 'VisITedResources=49<x<74']",gender=F,class=L,0.75,0.7435897435897436,1.0086206896551724,9.0,29.0
155,"['GradeID=G-02', 'raisedhands=50<x<75']",gender=F,class=L,0.4375,0.43333333333333335,1.0096153846153846,7.0,13.0
18,['VisITedResources=0<x<24'],gender=F,class=L,0.967741935483871,0.9548872180451128,1.013462026924054,30.0,127.0
171,['Discussion=x>74'],gender=F,class=L,0.5238095238095238,0.5164835164835165,1.0141843971631206,22.0,47.0
304,"['raisedhands=x>75', 'Discussion=x>74', 'AnnouncementsView=x>73']",gender=F,class=H,0.75,0.7391304347826086,1.0147058823529413,6.0,17.0
97,"['NationalITy=Jordan', 'VisITedResources=49<x<74']",gender=F,class=L,0.7777777777777778,0.7647058823529411,1.0170940170940173,7.0,13.0
22,"['GradeID=G-02', 'VisITedResources=0<x<24']",gender=F,class=L,1.0,0.98,1.0204081632653061,10.0,49.0
19,"['SectionID=B', 'VisITedResources=0<x<24']",gender=F,class=L,1.0,0.9782608695652174,1.0222222222222221,9.0,45.0
26,"['VisITedResources=0<x<24', 'Topic=IT']",gender=F,class=L,1.0,0.975609756097561,1.0250000000000001,10.0,40.0
20,"['NationalITy=Jordan', 'VisITedResources=0<x<24']",gender=F,class=L,1.0,0.972972972972973,1.0277777777777777,13.0,36.0
313,"['GradeID=G-02', 'raisedhands=50<x<75', 'Topic=French']",gender=F,class=H,0.5454545454545454,0.5294117647058824,1.0303030303030303,6.0,9.0
14,"['raisedhands=0<x<25', 'VisITedResources=0<x<24']",gender=F,class=L,1.0,0.9693877551020408,1.0315789473684212,25.0,95.0
21,"['SectionID=B', 'GradeID=G-02', 'VisITedResources=0<x<24']",gender=F,class=L,1.0,0.9642857142857143,1.037037037037037,5.0,27.0
207,"['raisedhands=0<x<25', 'Topic=Arabic']",gender=F,class=L,1.0,0.9615384615384616,1.04,6.0,25.0
114,"['AnnouncementsView=24<x<49', 'GradeID=G-07']",gender=F,class=L,0.9,0.8636363636363636,1.0421052631578946,9.0,19.0
15,"['NationalITy=Jordan', 'raisedhands=0<x<25', 'VisITedResources=0<x<24']",gender=F,class=L,1.0,0.9583333333333334,1.0434782608695652,10.0,23.0
27,"['GradeID=G-02', 'VisITedResources=0<x<24', 'Topic=IT']",gender=F,class=L,1.0,0.9565217391304348,1.0454545454545454,6.0,22.0
162,"['AnnouncementsView=24<x<49', 'Discussion=x>74']",gender=F,class=L,0.6666666666666666,0.631578947368421,1.0555555555555556,8.0,12.0
75,"['NationalITy=Jordan', 'raisedhands=25<x<50']",gender=F,class=L,0.9230769230769231,0.8717948717948718,1.0588235294117647,12.0,34.0
86,"['raisedhands=50<x<75', 'VisITedResources=49<x<74']",gender=F,class=H,0.5,0.4722222222222222,1.0588235294117647,8.0,17.0
